domain|urls|paths|subdomains|proto
5first.com|http://5first.com/mfp/home.html|/mfp/home.html||HTTPS;HTTP
990000.com|http://990000.com/photo/;http://www.990000.com/|/;/photo/||HTTPS;HTTP
aminus3.com|http://aaron.aminus3.com/|/||HTTPS;HTTP
abandonedlandscapes.com|http://abandonedlandscapes.com|||HTTPS;HTTP
bizhosting.com|http://abetterphotoguide.bizhosting.com/|/||HTTP
ablakegardner.com|http://ablakegardner.com/|/||HTTPS;HTTP
weblog.com.pt|http://abnoxio.weblog.com.pt/arquivo/sexo3.jpg|/arquivo/sexo3.jpg||HTTPS;HTTP
tnn.net|http://abone.tnn.net/gsimpson/;http://abone.tnn.net/ermer|/ermer;/gsimpson/||HTTPS;HTTP
osu.edu|http://accad.osu.edu/~tmendoza/|/~tmendoza/||HTTPS;HTTP
accidentalboxes.com|http://accidentalboxes.com|||HTTPS;HTTP
achberstudio.com|http://achberstudio.com|||HTTPS;HTTP
adamsimaging.com|http://adamsimaging.com|||HTTPS;HTTP
adamskitom.com|http://adamskitom.com|||HTTPS;HTTP
addisoncrawford.com|http://addisoncrawford.com/|/||HTTPS;HTTP
ziemkowski.com|http://adrian.ziemkowski.com/|/||HTTP
adrianphoto.com|http://adrianphoto.com|||HTTPS;HTTP
aephotography.co.uk|http://aephotography.co.uk/|/||HTTPS;HTTP
aerialdesignflys.com|http://aerialdesignflys.com|||HTTPS;HTTP
aerialpics.com|http://aerialpics.com/|/||HTTP
aerialskyshotsphoto.com|http://aerialskyshotsphoto.com/|/||HTTPS;HTTP
aericmg.com|http://aericmg.com/;http://www.aericmg.com/|/||HTTPS;HTTP
affordablephoto.com|http://affordablephoto.com|||HTTPS;HTTP
wanadoo-members.co.uk|http://mysite.wanadoo-members.co.uk/dunedreams_photos/;http://mysite.wanadoo-members.co.uk/photographicscenes/;http://mysite.wanadoo-members.co.uk/phil_lewin_photos/;http://mysite.wanadoo-members.co.uk/unfocussed;http://mysite.wanadoo-members.co.uk/fletchys_piccys/;http://africanwildlife.mysite.wanadoo-members.co.uk/;http://click4photos.mysite.wanadoo-members.co.uk/;http://mysite.wanadoo-members.co.uk/newimage/;http://mysite.wanadoo-members.co.uk/lifestylephotos|/newimage/;/unfocussed;/fletchys_piccys/;/photographicscenes/;/;/lifestylephotos;/phil_lewin_photos/;/dunedreams_photos/||HTTPS;HTTP
blogspot.com|http://artnudes.blogspot.com/;http://ahamediqbal.blogspot.com;http://chapter13photography.blogspot.com/;http://fotodiario.blogspot.com/;http://georgedipin.blogspot.com;http://www.mcordwell.blogspot.com/;http://www.thecelluloidmuse.blogspot.com/;http://www.damncoolpics.blogspot.com/;http://www.chethstudios.blogspot.com/;http://mcordwell.blogspot.com/;http://www.trevbowersphotography.blogspot.com;http://thecelluloidmuse.blogspot.com/;http://o-pad.blogspot.com/;http://night-hawks.blogspot.com/;http://visualpoetics.blogspot.com/;http://greentrabant.blogspot.com/;http://lajeeb.blogspot.com/;http://damncoolpics.blogspot.com/;http://chethstudios.blogspot.com/|;/||HTTPS;HTTP
ahrensfoto.com|http://ahrensfoto.com/|/||HTTPS;HTTP
ahrensphoto.com|http://ahrensphoto.com/|/||HTTPS;HTTP
airshot.com|http://airshot.com/|/||HTTPS;HTTP
ajlphoto.com|http://ajlphoto.com/|/||HTTPS;HTTP
arizona.edu|http://akiko.as.arizona.edu/~gbendo/|/~gbendo/||HTTP
aku-aku.com|http://aku-aku.com/|/||HTTPS;HTTP
alainastruc.com|http://alainastruc.com/|/||HTTPS;HTTP
alaskaimagedesign.com|http://alaskaimagedesign.com|||HTTP
albrodsky.com|http://albrodsky.com|||HTTPS;HTTP
stanford.edu|http://albumen.stanford.edu/|/||HTTPS;HTTP
albums-online.com|http://albums-online.com/|/||HTTP
alexandersfoto.com|http://alexandersfoto.com|||HTTPS;HTTP
algordonphoto.com|http://algordonphoto.com|||HTTPS;HTTP
all-photo.ru|http://all-photo.ru/empire/index.en.html;http://all-photo.ru/vg/index.en.html;http://www.all-photo.ru/fabledcities/index.en.html;http://all-photo.ru/index.en.html|/fabledcities/index.en.html;/index.en.html;/empire/index.en.html;/vg/index.en.html||HTTP
alliedpix.com|http://alliedpix.com|||HTTP
allsmilesphotography.com|http://allsmilesphotography.com/|/||HTTP
blogger.com.br|http://buscandooequilibrio.blogger.com.br/;http://imagensnanet.blogger.com.br/;http://www.alodomanga.blogger.com.br/manga_assdeus.jpg;http://www.imagensnanet.blogger.com.br/;http://alodomanga.blogger.com.br/manga_assdeus.jpg;http://www.buscandooequilibrio.blogger.com.br/|/manga_assdeus.jpg;/||HTTP
zip.net|http://mafagafiadoresmaster.zip.net/images/sexoescritorio.jpg;http://alphafest.zip.net/images/parceriasexplod.jpg;http://carolaupair.zip.net/|/images/sexoescritorio.jpg;/;/images/parceriasexplod.jpg||HTTP
homestead.com|http://www.newcenturyltd.homestead.com/;http://teela.homestead.com/index.html;http://theportraitgallery.homestead.com;http://lalaportraits.homestead.com/;http://njsportsphoto.homestead.com/;http://poggiphoto.homestead.com/;http://photoscapes.homestead.com;http://jimmygsnaturephotos.homestead.com/jims.html;http://www.homestead.com/irothman/;http://www.giddy.homestead.com/;http://www.yankeephotosociety.homestead.com/;http://ppsvonline.homestead.com/;http://www.schoolphotos.homestead.com;http://johnsmurrayphotography.homestead.com/index.html;http://photodesign.homestead.com/;http://worldimages.homestead.com/;http://alpinephotos.homestead.com/;http://www.expressionsphotography.homestead.com;http://glp.homestead.com/;http://www.cameraman.homestead.com;http://www.thailand.homestead.com/;http://xal3d.homestead.com/;http://aubriesphotography.homestead.com/;http://wagnerphotography.homestead.com/index.html;http://forrestal.homestead.com;http://photo_workshops.homestead.com/;http://johnsrolleionlypage.homestead.com/;http://posersphotography.homestead.com/;http://www.homestead.com/edharpphotos/ehpindex.html;http://bvphoto.homestead.com;http://enetweb.homestead.com;http://www.homestead.com/harrisstudio/|;/jims.html;/irothman/;/edharpphotos/ehpindex.html;/harrisstudio/;/index.html;/||HTTPS;HTTP
