domain|urls|paths|subdomains|proto
mercadolibre.com.ar|http://guia.mercadolibre.com.ar;http://smartad.mercadolibre.com.ar;http://pmstrk.mercadolibre.com.ar;http://listado.mercadolibre.com.ar;http://pmspxl.mercadolibre.com.ar;http://pmssrv.mercadolibre.com.ar;http://articulo.mercadolibre.com.ar|||HTTPS;HTTP
mercadolibre.cl|http://smartad.mercadolibre.cl;http://pmssrv.mercadolibre.cl;http://www.mercadolibre.cl;http://articulo.mercadolibre.cl;http://pmspxl.mercadolibre.cl|||HTTPS;HTTP
mercadolibre.com.co|http://ipod.mercadolibre.com.co;http://smartad.mercadolibre.com.co;http://fd.mercadolibre.com.co;http://pmstrk.mercadolibre.com.co;http://computacion.mercadolibre.com.co;http://articulo.mercadolibre.com.co;http://mp3.mercadolibre.com.co;http://guia.mercadolibre.com.co;http://pmssrv.mercadolibre.com.co;http://listado.mercadolibre.com.co;http://celulares.mercadolibre.com.co;http://pmspxl.mercadolibre.com.co;http://camaras-digitales.mercadolibre.com.co;http://eshops.mercadolibre.com.co;http://tendencias.mercadolibre.com.co;http://opinion.mercadolibre.com.co;http://electronica.mercadolibre.com.co|||HTTPS;HTTP
mercadolibre.com.pe|http://img.mercadolibre.com.pe;http://pmspxl.mercadolibre.com.pe;http://articulo.mercadolibre.com.pe;http://pmssrv.mercadolibre.com.pe|||HTTPS;HTTP
mercadolibre.com.ec|http://pmspxl.mercadolibre.com.ec;http://pmssrv.mercadolibre.com.ec;http://articulo.mercadolibre.com.ec|||HTTPS;HTTP
ebay.co.uk|http://promo.ebay.co.uk;http://cgi.ebay.co.uk|||HTTPS;HTTP
aol.com|http://hometown.aol.com/earllan4u/myhomepage/business.html|/earllan4u/myhomepage/business.html||HTTPS;HTTP
ebay.es|http://deportes.search.ebay.es;http://pages.ebay.es;http://arte-antiguedades.listings.ebay.es;http://myworld.ebay.es;http://stores.ebay.es;http://ropa-complementos.listings.ebay.es;http://cgi1.ebay.es;http://members.ebay.es;http://search.opiniones.ebay.es;http://promo.ebay.es;http://comprar.ebay.es;http://cgi.ebay.es;http://sofe.ebay.es|||HTTPS;HTTP
mercadolibre.com|http://pms.mercadolibre.com;http://www.mercadolibre.com;http://pulsecnt.mercadolibre.com;http://mercadolibre.com|||HTTPS;HTTP
mercadopago.com.br|http://mercadopago.com.br/;http://www.mercadopago.com.br/|/||HTTPS;HTTP
